Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Signaling By Insulin Receptor R-HSA-74752,1/77,0.2828330655678514,0.3362650049068661,0,0,3.0708978328173373,3.878232050839515,MAPK3
GO_Biological_Process_2023,Transcription Initiation At RNA Polymerase II Promoter (GO:0006367),1/76,0.2797240695996395,0.3369121016066769,0,0,3.112,3.9645374645280658,GTF2F1
Reactome_2022,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,1/78,0.285928797233274,0.3382415846970058,0,0,3.030863254392666,3.7946785586949976,KIF4A
Reactome_2022,Pre-NOTCH Expression And Processing R-HSA-1912422,1/78,0.285928797233274,0.3382415846970058,0,0,3.030863254392666,3.7946785586949976,JUN
GO_Biological_Process_2023,Positive Regulation Of Synaptic Transmission (GO:0050806),1/77,0.2828330655678514,0.3401527844773124,0,0,3.0708978328173373,3.878232050839515,DTNBP1
GO_Cellular_Component_2023,Transcription Factor TFIID Complex (GO:0005669),1/42,0.1657107422142195,0.3404602521855783,0,0,5.702439024390244,10.250199880384558,GTF2F1
GO_Cellular_Component_2023,Small Ribosomal Subunit (GO:0015935),1/42,0.1657107422142195,0.3404602521855783,0,0,5.702439024390244,10.250199880384558,RPS6
GO_Cellular_Component_2023,Cytosolic Small Ribosomal Subunit (GO:0022627),1/41,0.1621003778502616,0.3404602521855783,0,0,5.845294117647059,10.635743648833245,RPS6
GO_Cellular_Component_2023,Brush Border Membrane (GO:0031526),1/40,0.1584745722036877,0.3404602521855783,0,0,5.995475113122172,11.044631186923048,LIMA1
GO_Cellular_Component_2023,Chromosome (GO:0005694),2/164,0.1569586875051389,0.3404602521855783,0,0,2.9029982363315696,5.375692723016611,JUN;PDS5A
Reactome_2022,Amyloid Fiber Formation R-HSA-977225,1/79,0.289011320541071,0.3410333582384638,0,0,2.9918552036199095,3.7137582110670744,GGA2
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),1/78,0.285928797233274,0.3423565716504444,0,0,3.030863254392666,3.7946785586949976,CD2
GO_Biological_Process_2023,Cellular Response To Nutrient Levels (GO:0031669),1/78,0.285928797233274,0.3423565716504444,0,0,3.030863254392666,3.7946785586949976,RPTOR
GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),1/78,0.285928797233274,0.3423565716504444,0,0,3.030863254392666,3.7946785586949976,DDI2
Reactome_2022,Processing Of DNA Double-Strand Break Ends R-HSA-5693607,1/80,0.2920806911352911,0.3429405129747697,0,0,2.9538346984363364,3.6353587272888825,CHEK1
Reactome_2022,RNA Polymerase II Pre-transcription Events R-HSA-674695,1/80,0.2920806911352911,0.3429405129747697,0,0,2.9538346984363364,3.6353587272888825,GTF2F1
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Membrane (GO:1905477),1/79,0.289011320541071,0.3435178415203081,0,0,2.9918552036199095,3.7137582110670744,STX3
GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),1/79,0.289011320541071,0.3435178415203081,0,0,2.9918552036199095,3.7137582110670744,CDC25C
GO_Biological_Process_2023,Response To Insulin (GO:0032868),1/79,0.289011320541071,0.3435178415203081,0,0,2.9918552036199095,3.7137582110670744,RPS6KB1
GO_Biological_Process_2023,Positive Regulation Of Cytoskeleton Organization (GO:0051495),1/79,0.289011320541071,0.3435178415203081,0,0,2.9918552036199095,3.7137582110670744,VASP
GO_Biological_Process_2023,Negative Regulation Of Cellular Component Organization (GO:0051129),1/79,0.289011320541071,0.3435178415203081,0,0,2.9918552036199095,3.7137582110670744,XRCC5
